Point,Test,fW,current,ind,Rd,Cs,Rs,Output,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,"dB20(VF(""/VACcon_p_1""))","dB20(VF(""/VACout_p_1""))","dB20(VF(""/VACout_p_2""))",Stage 1 Region,Stage 2 Region
645,ECE740_tb_channel_CTLE_ML_1,3.60E-06,0.001051,7.04E-10,29.4,1.71E-13,940.5,,-0.01974,-27.58,-55.18,-6.577,-24.66,-42.79,-9.067,-22.63,-36.27,-13.13,-21.78,-30.54,-18.84,-22.12,-25.62,0,0,0,2,2
646,ECE740_tb_channel_CTLE_ML_1,9.67E-06,0.00178,2.01E-09,1417,8.56E-13,1314,,-0.01957,-53.29,-48.41,-6.605,-54.89,-43.9,-9.112,-58.84,-53.19,-13.17,-64.21,-64.4,-18.86,-70.49,-76.67,0,0,0,1,2
647,ECE740_tb_channel_CTLE_ML_1,9.67E-06,0.000805,1.62E-10,759.1,9.27E-13,949.6,,-0.01959,-1.467,0.1618,-6.612,-3.204,6.315,-9.116,-9.69,-4.9,-13.17,-19.04,-19.93,-18.86,-30.53,-37.49,0,0,0,1,2
648,ECE740_tb_channel_CTLE_ML_1,4.10E-06,0.002086,1.64E-09,611.6,3.61E-14,861.1,,-0.01968,-28.97,-30.03,-6.583,-35.98,-35.64,-9.082,-39.51,-36.58,-13.15,-45.66,-39.07,-18.87,-53.08,-47.35,0,0,0,1,2
649,ECE740_tb_channel_CTLE_ML_1,9.65E-06,0.002322,2.14E-09,1031,9.62E-13,1221,,-0.01956,-57.64,-54.45,-6.604,-57.67,-46.89,-9.112,-60.48,-54.99,-13.17,-64.75,-65.08,-18.86,-70.52,-76.77,0,0,0,1,2
650,ECE740_tb_channel_CTLE_ML_1,2.50E-06,0.001011,6.71E-10,320.9,4.06E-13,1470,,-0.01975,-10.17,-20.3,-6.578,-4.94,-3.3,-9.071,-7.07,-5.067,-13.13,-11.13,-9.113,-18.84,-17.17,-15.44,0,0,0,2,2
651,ECE740_tb_channel_CTLE_ML_1,3.46E-06,0.001763,1.95E-09,60.45,4.73E-14,1367,,-0.01974,-23.87,-47.76,-6.578,-24.82,-43.1,-9.064,-20.23,-31.43,-13.12,-14.59,-16.19,-18.83,-8.8,-0.3074,0,0,0,2,2
652,ECE740_tb_channel_CTLE_ML_1,7.71E-06,0.002233,1.92E-09,732.5,6.75E-13,498.6,,-0.01959,-40.86,-36.22,-6.595,-50.81,-38.8,-9.107,-54.13,-45.86,-13.17,-59.1,-56.16,-18.87,-65.3,-68.07,0,0,0,1,2
653,ECE740_tb_channel_CTLE_ML_1,1.42E-06,0.002418,1.44E-09,1004,7.55E-13,1355,,-0.01974,-39.28,-40.34,-6.58,-42.58,-36.25,-9.07,-44.86,-38.5,-13.13,-48.22,-41.94,-18.82,-51.98,-45.99,0,0,0,1,2
654,ECE740_tb_channel_CTLE_ML_1,7.36E-06,0.002349,1.63E-09,590.5,4.35E-14,742.9,,-0.0196,-35.63,-35.28,-6.594,-38.26,-36.35,-9.104,-39.25,-34.97,-13.17,-44.42,-40.9,-18.87,-53.56,-55.71,0,0,0,1,2
655,ECE740_tb_channel_CTLE_ML_1,4.78E-06,0.002485,1.59E-09,1120,4.93E-13,665.5,,-0.0197,-62.24,-56.95,-6.586,-58.35,-45.21,-9.089,-57.58,-45.54,-13.16,-57.89,-49.21,-18.88,-61.03,-57.38,0,0,0,1,2
656,ECE740_tb_channel_CTLE_ML_1,6.48E-06,0.001225,8.52E-10,1468,6.97E-13,814.4,,-0.01962,-47.55,-40.89,-6.59,-58.75,-44.77,-9.101,-57.74,-46.94,-13.17,-59.05,-53.21,-18.88,-63.51,-63.45,0,0,0,1,2
657,ECE740_tb_channel_CTLE_ML_1,2.31E-06,0.001765,2.60E-09,665.7,2.21E-13,1271,,-0.01972,-23.05,-26.77,-6.58,-24.61,-18.61,-9.072,-26.87,-19.81,-13.14,-30.95,-23.4,-18.84,-36.98,-28.97,0,0,0,1,2
658,ECE740_tb_channel_CTLE_ML_1,3.03E-06,0.001302,1.86E-09,256.8,7.46E-14,1458,,-0.01974,-12.2,-24.36,-6.577,-11.7,-16.83,-9.063,-9.787,-10.59,-13.13,-10.12,-7.29,-18.85,-13.18,-7.37,0,0,0,2,2
659,ECE740_tb_channel_CTLE_ML_1,9.40E-06,0.002074,1.92E-09,735.6,6.21E-13,1091,,-0.01955,-42.91,-42.63,-6.603,-53.79,-42.73,-9.111,-57.37,-51.46,-13.17,-62.32,-62.22,-18.86,-68.38,-74.13,0,0,0,1,2
660,ECE740_tb_channel_CTLE_ML_1,5.38E-06,0.0008372,6.24E-10,444.9,6.65E-14,681.9,,-0.0197,-2.224,-4.376,-6.578,-6.348,-6.081,-9.076,-5.985,-2.723,-13.16,-9.663,-5.359,-18.89,-19.34,-19.12,0,0,0,2,2
661,ECE740_tb_channel_CTLE_ML_1,8.60E-06,0.002112,2.01E-09,1319,4.38E-13,769.5,,-0.01964,-50.94,-44.79,-6.601,-49.03,-36.86,-9.11,-53.27,-46.09,-13.17,-60.08,-58.7,-18.87,-67.88,-72.47,0,0,0,1,2
662,ECE740_tb_channel_CTLE_ML_1,9.63E-06,0.002497,7.38E-10,599.2,1.23E-14,259.4,,-0.01954,-37.64,-30.78,-6.604,-40.25,-35.17,-9.111,-40.96,-38.88,-13.17,-44.32,-46.98,-18.86,-50.21,-58.45,0,0,0,1,2
663,ECE740_tb_channel_CTLE_ML_1,1.19E-06,0.001444,2.87E-09,1259,9.43E-13,1397,,-0.01974,-32.67,-31.87,-6.58,-36.86,-30.17,-9.069,-39.28,-32.55,-13.13,-43.08,-36.32,-18.82,-47.91,-41.08,0,0,0,1,2
664,ECE740_tb_channel_CTLE_ML_1,2.37E-06,0.0005243,2.79E-09,538.9,1.59E-13,16.79,,-0.01972,4.088,8.181,-6.58,-2.417,1.725,-9.072,-4.751,-0.4635,-13.13,-8.255,-3.453,-18.84,-12.75,-6.674,0,0,0,2,2
665,ECE740_tb_channel_CTLE_ML_1,7.36E-06,0.001634,1.99E-09,688,2.52E-13,1221,,-0.0196,-31.07,-32.84,-6.593,-36.14,-24.85,-9.105,-40.07,-30.94,-13.17,-47.28,-43.53,-18.87,-57.03,-59.03,0,0,0,1,2
666,ECE740_tb_channel_CTLE_ML_1,6.34E-06,0.0008251,2.48E-09,1090,6.67E-13,64.56,,-0.01963,-18.4,-6.048,-6.589,-25.49,-13.52,-9.098,-29.11,-19.06,-13.17,-35.8,-29.99,-18.88,-45.76,-45.39,0,0,0,1,2
667,ECE740_tb_channel_CTLE_ML_1,9.72E-06,0.0007809,1.41E-09,136,3.21E-13,1063,,-0.01969,-14.34,-28.67,-6.584,-6.983,-7.445,-9.109,-10.16,-11.28,-13.17,-17.7,-22.28,-18.87,-26.65,-34.52,0,0,0,2,2
668,ECE740_tb_channel_CTLE_ML_1,1.23E-06,0.002264,2.91E-09,357.5,1.33E-13,778.9,,-0.01975,-12.22,-30.06,-6.581,-17.26,-33.02,-9.07,-19.1,-34.04,-13.13,-21.78,-35.28,-18.82,-23.82,-33.7,0,0,0,2,2
669,ECE740_tb_channel_CTLE_ML_1,9.29E-06,0.002421,6.72E-10,1218,7.69E-13,1196,,-0.01969,-41.9,-38.08,-6.605,-54.5,-43.47,-9.111,-58.41,-52.63,-13.17,-63.92,-63.96,-18.87,-70.35,-76.39,0,0,0,1,2
670,ECE740_tb_channel_CTLE_ML_1,9.25E-06,0.001953,1.03E-09,561,4.99E-13,400.7,,-0.01956,-27.44,-23.42,-6.602,-34.74,-24.63,-9.111,-39.9,-34.22,-13.17,-48.36,-48.43,-18.87,-58.94,-64.91,0,0,0,1,2
671,ECE740_tb_channel_CTLE_ML_1,8.18E-06,0.0005618,8.63E-10,1138,8.41E-13,1105,,-0.01961,-2.376,1.155,-6.601,-5.214,6.073,-9.113,-10.46,-3.156,-13.17,-19.01,-17.09,-18.87,-30.2,-34.26,0,0,0,1,2
672,ECE740_tb_channel_CTLE_ML_1,3.51E-06,0.0009922,1.62E-09,502.1,3.57E-13,19.71,,-0.01967,6.084,12.84,-6.582,-0.5443,6.184,-9.082,-3.233,3.416,-13.15,-7.981,-1.665,-18.88,-15.54,-10.5,0,0,0,2,2
673,ECE740_tb_channel_CTLE_ML_1,1.41E-06,0.001662,2.28E-09,194.4,7.79E-13,1095,,-0.01975,-14.46,-28.88,-6.58,-14.33,-22.06,-9.068,-16.1,-23.1,-13.13,-18.1,-23.03,-18.81,-19.15,-19.61,0,0,0,2,2
674,ECE740_tb_channel_CTLE_ML_1,7.45E-06,0.002297,5.12E-10,1120,2.11E-13,374.3,,-0.01962,-55.58,-46.92,-6.595,-44.58,-33.11,-9.106,-47.33,-38.41,-13.17,-53.97,-50.51,-18.87,-63.03,-65.55,0,0,0,1,2
675,ECE740_tb_channel_CTLE_ML_1,9.31E-06,0.002366,2.34E-09,860,4.92E-13,129.5,,-0.01955,-47.25,-35.66,-6.603,-51.54,-41.19,-9.111,-55.17,-49.22,-13.17,-61.45,-61.2,-18.87,-68.63,-74.24,0,0,0,1,2
676,ECE740_tb_channel_CTLE_ML_1,5.85E-06,0.0005494,6.90E-10,524.2,7.96E-13,794,,-0.01969,-1.475,-2.937,-6.587,0.8344,8.404,-9.1,-3.04,3.474,-13.17,-10.21,-6.656,-18.88,-20.48,-21.72,0,0,0,2,2
677,ECE740_tb_channel_CTLE_ML_1,8.62E-06,0.00199,1.84E-09,796.3,2.61E-13,1392,,-0.01957,-44.41,-45.8,-6.599,-50.71,-38.7,-9.11,-54.48,-46.94,-13.17,-60.16,-58.62,-18.87,-66.79,-71.21,0,0,0,1,2
678,ECE740_tb_channel_CTLE_ML_1,4.62E-06,0.0005063,8.55E-10,227.5,3.15E-13,157.8,,-0.0197,-2.426,-4.894,-6.58,-7.647,-8.788,-9.077,-9.203,-9.393,-13.15,-13.35,-13.52,-18.87,-20.6,-22.2,0,0,0,2,2
679,ECE740_tb_channel_CTLE_ML_1,4.64E-06,0.002264,2.66E-09,527.7,1.32E-13,1172,,-0.01966,-28.44,-32.53,-6.584,-31.79,-26.43,-9.086,-34.06,-25.07,-13.16,-39.15,-30.39,-18.88,-47.34,-42.45,0,0,0,1,2
680,ECE740_tb_channel_CTLE_ML_1,1.74E-06,0.002092,2.03E-09,813.1,3.09E-13,147.3,,-0.01973,-28.24,-23.72,-6.58,-34.74,-29.49,-9.071,-37.16,-31.32,-13.13,-41.08,-34.85,-18.82,-46.35,-39.9,0,0,0,1,2
681,ECE740_tb_channel_CTLE_ML_1,7.28E-06,0.001976,4.68E-10,731.3,3.18E-13,235.7,,-0.0196,-35.6,-27.57,-6.593,-45.32,-34.76,-9.105,-50.34,-41.7,-13.17,-56.55,-52.97,-18.87,-63.48,-65.78,0,0,0,1,2
682,ECE740_tb_channel_CTLE_ML_1,8.92E-06,0.001616,1.26E-09,1132,9.87E-13,491.8,,-0.01956,-47.98,-40.05,-6.601,-59.77,-48.07,-9.111,-60.24,-53.42,-13.17,-63.17,-62.05,-18.87,-68.48,-73.32,0,0,0,1,2
683,ECE740_tb_channel_CTLE_ML_1,4.58E-06,0.001555,1.06E-09,1187,6.57E-13,135.7,,-0.01966,-41.67,-30.29,-6.584,-50.05,-37.17,-9.086,-52.37,-40.2,-13.16,-54.85,-45.58,-18.88,-58.8,-54.34,0,0,0,1,2
684,ECE740_tb_channel_CTLE_ML_1,6.49E-06,0.002358,2.71E-09,39.71,6.06E-13,731,,-0.01972,-21.85,-43.71,-6.575,-9.806,-13.13,-9.082,-6.209,-3.555,-13.19,-6.825,-0.4318,-18.89,-16.66,-14.39,0,0,0,2,2
685,ECE740_tb_channel_CTLE_ML_1,5.00E-06,0.002374,2.59E-09,1006,5.42E-13,595.5,,-0.01966,-49.24,-43.99,-6.585,-58.62,-45.63,-9.09,-57.51,-45.68,-13.16,-57.73,-49.32,-18.88,-61.02,-57.61,0,0,0,1,2
686,ECE740_tb_channel_CTLE_ML_1,2.47E-06,0.0009523,4.29E-10,126.4,1.66E-13,854.9,,-0.01975,-15.17,-30.37,-6.578,-14.82,-23.13,-9.067,-15.33,-21.69,-13.13,-18.47,-23.95,-18.82,-23.37,-28.1,0,0,0,2,2
687,ECE740_tb_channel_CTLE_ML_1,6.44E-06,0.001804,1.07E-11,30.54,6.54E-13,1094,,-0.01972,-26.7,-53.41,-6.579,-17.42,-28.34,-9.086,-19.86,-30.75,-13.16,-25.9,-38.83,-18.87,-35.66,-52.72,0,0,0,2,2
688,ECE740_tb_channel_CTLE_ML_1,8.90E-06,0.002096,2.22E-09,1461,1.10E-13,1349,,-0.01975,-36.91,-33.84,-6.603,-37.53,-26.67,-9.109,-41.51,-34.64,-13.17,-49.35,-48.63,-18.87,-60.03,-65.42,0,0,0,1,2
689,ECE740_tb_channel_CTLE_ML_1,2.25E-06,0.001647,1.44E-10,321,3.39E-13,1150,,-0.01974,-9.363,-18.42,-6.578,-6.145,-5.243,-9.071,-8.182,-6.79,-13.13,-12.34,-11.01,-18.84,-18.83,-18.16,0,0,0,2,2
690,ECE740_tb_channel_CTLE_ML_1,2.63E-06,0.0005072,1.45E-09,97.88,2.63E-13,1357,,-0.01975,-20.38,-40.77,-6.578,-15.99,-25.49,-9.068,-16.75,-24.51,-13.13,-17.93,-22.83,-18.82,-18.42,-18.34,0,0,0,2,2
691,ECE740_tb_channel_CTLE_ML_1,1.51E-06,0.001187,2.10E-09,1039,6.00E-13,1257,,-0.01974,-22.81,-23.2,-6.58,-26,-18.77,-9.07,-28.47,-21.16,-13.13,-32.54,-25.23,-18.82,-38.27,-31.08,0,0,0,1,2
692,ECE740_tb_channel_CTLE_ML_1,8.49E-06,0.002251,3.27E-10,1197,9.48E-13,602.7,,-0.01962,-60.39,-53.17,-6.6,-57.29,-45.36,-9.11,-59.46,-52.31,-13.17,-63.27,-61.79,-18.87,-68.86,-73.35,0,0,0,1,2
693,ECE740_tb_channel_CTLE_ML_1,5.97E-06,0.002487,1.87E-09,1186,5.11E-13,840.7,,-0.01972,-48.67,-43.99,-6.592,-54.97,-41.42,-9.098,-56.47,-45.5,-13.17,-59.09,-52.8,-18.88,-63.83,-63.16,0,0,0,1,2
694,ECE740_tb_channel_CTLE_ML_1,7.50E-06,0.001826,9.39E-10,987.2,1.13E-13,506.8,,-0.01959,-44.96,-38.59,-6.595,-41.19,-31.98,-9.106,-43.38,-34.65,-13.17,-49.87,-46.25,-18.87,-59.54,-61.97,0,0,0,1,2
695,ECE740_tb_channel_CTLE_ML_1,1.92E-06,0.001431,2.00E-09,455.7,1.15E-13,1120,,-0.01974,-7.52,-14.07,-6.577,-7.763,-7.776,-9.067,-8.204,-5.994,-13.13,-11.13,-7.662,-18.83,-15.59,-10.68,0,0,0,2,2
696,ECE740_tb_channel_CTLE_ML_1,9.26E-06,0.001174,1.60E-09,42.17,4.91E-13,156.9,,-0.01966,-12.71,-25.44,-6.584,-13.84,-21.19,-9.1,-12.58,-16.24,-13.18,-15.65,-18.24,-18.87,-23.66,-28.57,0,0,0,2,2
697,ECE740_tb_channel_CTLE_ML_1,2.67E-06,0.002188,2.97E-09,36.25,1.72E-13,1458,,-0.01975,-29.13,-58.29,-6.577,-18.79,-31.09,-9.065,-14.03,-19.11,-13.12,-10.87,-8.819,-18.82,-6.827,3.143,0,0,0,2,2
698,ECE740_tb_channel_CTLE_ML_1,3.49E-06,0.002237,4.65E-10,742.6,7.75E-13,278.7,,-0.01969,-33.86,-28.1,-6.582,-39.95,-29.88,-9.078,-42.47,-32.46,-13.15,-46.66,-37.84,-18.86,-52.61,-46.85,0,0,0,1,2
699,ECE740_tb_channel_CTLE_ML_1,3.48E-06,0.002382,2.52E-09,1372,3.67E-13,916.6,,-0.01986,-40.12,-35.7,-6.59,-59.59,-46.86,-9.084,-59.41,-46.8,-13.15,-57.98,-47.05,-18.86,-59.17,-51.93,0,0,0,1,2
700,ECE740_tb_channel_CTLE_ML_1,6.05E-06,0.001222,1.92E-09,1292,9.07E-13,1435,,-0.01963,-43.8,-40.04,-6.588,-50.3,-36.48,-9.097,-52.56,-41.36,-13.17,-56.2,-49.53,-18.88,-61.57,-60.47,0,0,0,1,2
701,ECE740_tb_channel_CTLE_ML_1,8.77E-06,0.001836,1.22E-09,551.6,9.12E-13,1448,,-0.01957,-26.88,-29.48,-6.6,-29.53,-19.05,-9.11,-34.53,-28.4,-13.17,-42.91,-42.27,-18.87,-53.77,-58.89,0,0,0,1,2
702,ECE740_tb_channel_CTLE_ML_1,3.38E-06,0.0006183,2.59E-09,257.9,9.99E-13,501.5,,-0.01973,-5.734,-11.49,-6.579,-5.523,-4.555,-9.073,-7.357,-5.745,-13.14,-9.736,-6.482,-18.86,-13.08,-7.019,0,0,0,2,2
703,ECE740_tb_channel_CTLE_ML_1,3.16E-06,0.0009867,1.51E-09,63.8,8.11E-13,955.4,,-0.01974,-20.42,-40.86,-6.579,-15.43,-24.36,-9.07,-15.79,-22.61,-13.13,-15.74,-18.48,-18.83,-15.35,-12.3,0,0,0,2,2
704,ECE740_tb_channel_CTLE_ML_1,2.79E-06,0.0008422,1.76E-09,1445,1.17E-13,1187,,-0.01971,-29.64,-26.73,-6.581,-36.07,-26.43,-9.074,-38.59,-27.22,-13.14,-42.7,-31.5,-18.85,-48.4,-39.53,0,0,0,1,2
705,ECE740_tb_channel_CTLE_ML_1,7.20E-06,0.0008899,5.10E-10,292.2,6.26E-13,326.9,,-0.01966,-0.9658,-1.931,-6.588,-1.424,3.811,-9.106,-5.349,-1.338,-13.18,-13.22,-13,-18.88,-23.97,-28.94,0,0,0,2,2
706,ECE740_tb_channel_CTLE_ML_1,1.42E-06,0.0006926,2.06E-09,20.24,3.92E-13,1224,,-0.01976,-34.19,-68.43,-6.579,-25.23,-43.98,-9.067,-22.12,-35.25,-13.13,-20.12,-27.08,-18.81,-18.96,-18.93,0,0,0,2,2
707,ECE740_tb_channel_CTLE_ML_1,7.29E-06,0.001941,2.97E-09,318.6,9.14E-13,1289,,-0.01967,-8.017,-14.73,-6.596,-1.529,7.138,-9.117,-6.18,0.7615,-13.18,-14.02,-10.65,-18.88,-24.29,-25.46,0,0,0,2,2
708,ECE740_tb_channel_CTLE_ML_1,9.00E-06,0.001347,2.66E-09,1088,4.99E-13,633.9,,-0.01956,-41.97,-35.92,-6.601,-56.35,-44.51,-9.111,-58.58,-51.68,-13.17,-62.15,-61.02,-18.87,-67.64,-72.4,0,0,0,1,2
709,ECE740_tb_channel_CTLE_ML_1,1.45E-06,0.0007092,2.99E-09,1117,2.10E-13,1208,,-0.01974,-6.86,-7.205,-6.579,-8.741,-2.047,-9.07,-10.97,-3.705,-13.13,-14.97,-7.498,-18.82,-20.73,-13.14,0,0,0,1,2
710,ECE740_tb_channel_CTLE_ML_1,8.48E-06,0.002236,1.36E-09,366.8,2.67E-13,970.3,,-0.0196,-15.9,-20.97,-6.598,-16.21,-8.106,-9.111,-20.76,-14.33,-13.17,-29.08,-28.26,-18.87,-40.04,-44.85,0,0,0,1,2
711,ECE740_tb_channel_CTLE_ML_1,2.12E-06,0.0007182,2.73E-09,912.1,9.53E-13,301.6,,-0.01972,1.578,6.368,-6.58,-2.495,5.537,-9.073,-4.952,3.19,-13.14,-9.175,-1.031,-18.84,-15.58,-7.663,0,0,0,1,2
712,ECE740_tb_channel_CTLE_ML_1,2.02E-06,0.001749,1.79E-09,1499,6.96E-14,999.9,,-0.01973,-47.6,-44.01,-6.581,-47.92,-40.86,-9.072,-48.67,-39.24,-13.13,-51.22,-40.78,-18.83,-54.36,-44.82,0,0,0,1,2
713,ECE740_tb_channel_CTLE_ML_1,4.22E-06,0.001349,2.81E-09,621.5,4.86E-13,1386,,-0.01968,-14.45,-17.87,-6.583,-14.22,-4.502,-9.084,-17,-7.208,-13.16,-22.17,-13.52,-18.88,-30.47,-24.73,0,0,0,1,2
714,ECE740_tb_channel_CTLE_ML_1,2.82E-06,0.001752,1.03E-09,1270,6.40E-14,60.65,,-0.01971,-42.28,-31.03,-6.581,-48.1,-36.93,-9.075,-48.99,-38.04,-13.14,-49.96,-39.78,-18.85,-52.25,-44.27,0,0,0,1,2
715,ECE740_tb_channel_CTLE_ML_1,6.37E-06,0.001115,1.91E-09,139.8,6.21E-13,868,,-0.01971,-12.5,-25,-6.579,-5.658,-4.822,-9.091,-7.355,-5.682,-13.17,-11.43,-9.592,-18.89,-19.01,-18.87,0,0,0,2,2
716,ECE740_tb_channel_CTLE_ML_1,9.45E-06,0.001943,2.99E-10,1199,3.35E-13,1474,,-0.01956,-51.95,-50.4,-6.603,-46.29,-34.63,-9.111,-51.3,-45.21,-13.17,-59.09,-59,-18.86,-67.9,-73.88,0,0,0,1,2
717,ECE740_tb_channel_CTLE_ML_1,6.80E-06,0.002055,1.73E-10,550.3,7.66E-13,870.9,,-0.01961,-28.11,-28.8,-6.591,-31.3,-20.29,-9.102,-35.11,-26.67,-13.17,-42.21,-38.43,-18.88,-52.37,-54.25,0,0,0,1,2
718,ECE740_tb_channel_CTLE_ML_1,6.93E-06,0.001187,1.98E-10,263.1,6.15E-13,219.3,,-0.01966,0.3047,0.6371,-6.586,-1.81,3.069,-9.105,-5.338,-1.27,-13.18,-13.08,-12.64,-18.88,-23.94,-28.77,0,0,0,2,2
719,ECE740_tb_channel_CTLE_ML_1,2.14E-06,0.002257,1.40E-09,1320,6.09E-13,935.1,,-0.01977,-56.28,-52.72,-6.583,-53.94,-43,-9.074,-54.71,-43.75,-13.14,-55.28,-44.75,-18.83,-56.36,-47.27,0,0,0,1,2
720,ECE740_tb_channel_CTLE_ML_1,3.44E-06,0.0005697,7.28E-11,630.1,8.72E-14,961,,-0.01973,-2.339,-4.617,-6.576,-4.124,-1.694,-9.07,-3.908,1.285,-13.14,-7.719,-1.829,-18.86,-15.93,-12.28,0,0,0,2,2
721,ECE740_tb_channel_CTLE_ML_1,8.16E-06,0.001896,1.36E-09,815.5,2.49E-13,1116,,-0.01958,-42.57,-42.32,-6.597,-51.45,-39.52,-9.109,-54.83,-46.64,-13.17,-59.82,-57.5,-18.87,-66.02,-69.69,0,0,0,1,2
722,ECE740_tb_channel_CTLE_ML_1,1.24E-06,0.001764,2.84E-11,1403,1.87E-13,848.5,,-0.01975,-40.71,-38.33,-6.58,-47.35,-40.37,-9.069,-49.32,-41.74,-13.13,-51.72,-44.19,-18.82,-53.95,-47.24,0,0,0,1,2
723,ECE740_tb_channel_CTLE_ML_1,9.04E-06,0.001174,1.56E-09,766.6,1.84E-13,56.71,,-0.01956,-18.51,-6.458,-6.6,-26.65,-17.3,-9.11,-31.94,-26.36,-13.17,-40.69,-40.3,-18.87,-51.95,-57.31,0,0,0,1,2
724,ECE740_tb_channel_CTLE_ML_1,6.41E-06,0.001397,1.49E-09,1158,7.74E-13,80.27,,-0.01962,-40.54,-27.52,-6.59,-48.85,-36.01,-9.1,-52.34,-41.9,-13.17,-56.73,-50.94,-18.88,-62.46,-62.31,0,0,0,1,2
725,ECE740_tb_channel_CTLE_ML_1,4.54E-06,0.0006579,2.79E-09,612.6,7.07E-13,633.3,,-0.0197,0.5094,1.144,-6.582,1.61,10.08,-9.091,-1.365,6.944,-13.17,-7.192,-0.09776,-18.89,-16.01,-11.88,0,0,0,2,2
726,ECE740_tb_channel_CTLE_ML_1,6.69E-06,0.0007096,2.12E-09,1479,8.48E-13,74.04,,-0.01962,-28.35,-14.73,-6.59,-35.89,-22.96,-9.101,-39.75,-29.58,-13.17,-46.49,-41.12,-18.88,-55.73,-56.08,0,0,0,1,2
727,ECE740_tb_channel_CTLE_ML_1,5.07E-06,0.0007004,2.96E-09,359.7,3.35E-13,374,,-0.0197,-0.9546,-1.912,-6.578,-2.223,2.072,-9.085,-3.53,2.087,-13.17,-8.067,-2.454,-18.89,-16.18,-12.7,0,0,0,2,2
728,ECE740_tb_channel_CTLE_ML_1,3.98E-06,0.002091,9.66E-10,933.5,1.72E-13,619.6,,-0.01968,-41.9,-37.87,-6.583,-50.66,-41.2,-9.082,-52.97,-41.9,-13.15,-54.82,-45.11,-18.87,-57.83,-52.22,0,0,0,1,2
729,ECE740_tb_channel_CTLE_ML_1,6.29E-06,0.00138,3.27E-10,1079,7.45E-13,1139,,-0.01962,-40.78,-37.85,-6.589,-47.38,-34.08,-9.099,-50.28,-39.71,-13.17,-55.08,-49.2,-18.88,-61.42,-61.22,0,0,0,1,2
730,ECE740_tb_channel_CTLE_ML_1,7.90E-06,0.0008366,1.49E-09,1318,5.26E-13,185.8,,-0.01959,-31.14,-19.31,-6.596,-40.07,-27.91,-9.107,-44.65,-36.21,-13.17,-51.93,-48.89,-18.87,-60.77,-63.66,0,0,0,1,2
731,ECE740_tb_channel_CTLE_ML_1,3.07E-06,0.001774,1.82E-09,1143,5.31E-13,377.4,,-0.0197,-41.21,-34.08,-6.581,-48.95,-37.37,-9.076,-50.82,-39.14,-13.14,-53,-42.24,-18.85,-55.74,-47.62,0,0,0,1,2
732,ECE740_tb_channel_CTLE_ML_1,9.67E-06,0.0008087,2.56E-09,661,7.89E-13,843.7,,-0.01961,0.05912,0.9431,-6.615,0.2286,9.547,-9.119,-6.633,-1.868,-13.17,-16.05,-16.8,-18.86,-27.23,-33.59,0,0,0,2,2
733,ECE740_tb_channel_CTLE_ML_1,8.57E-06,0.001661,2.50E-09,696.5,3.24E-13,989.2,,-0.01957,-32.57,-32.65,-6.599,-39.52,-27.99,-9.109,-44.16,-36.76,-13.17,-51.94,-50.3,-18.87,-61.46,-65.57,0,0,0,1,2
734,ECE740_tb_channel_CTLE_ML_1,6.84E-06,0.0008753,1.04E-09,1181,3.84E-13,955.2,,-0.01962,-28.82,-24.97,-6.591,-34.91,-21.96,-9.101,-38.61,-28.63,-13.17,-45.45,-40.52,-18.88,-55,-55.88,0,0,0,1,2
735,ECE740_tb_channel_CTLE_ML_1,1.20E-06,0.0006226,1.73E-09,14.88,6.36E-13,1017,,-0.01976,-36.21,-72.48,-6.58,-28.12,-49.76,-9.068,-25.03,-41.08,-13.13,-23.09,-33.03,-18.81,-22.25,-25.43,0,0,0,2,2
736,ECE740_tb_channel_CTLE_ML_1,5.90E-06,0.00236,1.08E-09,774.9,4.37E-13,1301,,-0.01963,-44.85,-45.92,-6.588,-54.25,-41.84,-9.096,-55.41,-44.82,-13.17,-57.62,-51.36,-18.88,-62.17,-61.4,0,0,0,1,2
737,ECE740_tb_channel_CTLE_ML_1,7.80E-06,0.001003,1.19E-09,1225,1.05E-13,1125,,-0.01959,-37.1,-34.06,-6.595,-42.31,-31.98,-9.106,-46,-36.92,-13.17,-52.75,-49.4,-18.87,-61.47,-64.27,0,0,0,1,2
738,ECE740_tb_channel_CTLE_ML_1,8.27E-06,0.001822,3.05E-10,1235,4.90E-13,963,,-0.01958,-53.6,-49.07,-6.598,-51.29,-38.67,-9.109,-54.97,-47.1,-13.17,-60.63,-58.48,-18.87,-67.3,-71.14,0,0,0,1,2
739,ECE740_tb_channel_CTLE_ML_1,1.83E-06,0.001718,2.20E-09,957.3,8.41E-13,702.9,,-0.01973,-31.2,-29.16,-6.58,-35.69,-27.77,-9.071,-38.13,-30.14,-13.13,-42.06,-34.08,-18.82,-47.31,-39.5,0,0,0,1,2
